status;garnly_produkt;garnly_variant;strikkefryd_farge;ean;sf_lager
EKSAKT;Alva;334 Light Blush;334 Light Blush;5709673005064;21
EKSAKT;Alva;370 Flamingo;370 Flamingo;5709673005125;19
EKSAKT;Alva;361 Madeira Rose;361 Madeira Rose;5709673005095;7
EKSAKT;Alva;225 Christmas Red;225 Christmas Red;5709673004999;13
EKSAKT;Alva;245 Bordeaux;245 Bordeaux;5709673005002;27
EKSAKT;Alva;369 Slightly Purple;369 Slightly Purple;5709673005118;11
EKSAKT;Alva;145 Navy Blue;145 Navy Blue;5709673004951;16
EKSAKT;Alva;337 Bright Cobalt;337 Bright Cobalt;5709673005071;20
EKSAKT;Alva;142 Periwinkle;142 Periwinkle;5709673004944;20
EKSAKT;Alva;281 Rime Frost;281 Rime Frost;5709673005026;14
EKSAKT;Alva;377 Blue Mist;377 Blue mist;5709673005583;12
EKSAKT;Alva;368 Eucalyptus;368 Eucalyptus;5709673005101;25
EKSAKT;Alva;147 Hunter Green;147 Hunter Green;5709673004968;14
EKSAKT;Alva;355 Green Tea;355 Green Tea;5709673005088;8
EKSAKT;Alva;374 Lemon Curd;374 Lemon Curd;5709673005354;10
EKSAKT;Alva;285 Curry;285 Curry;5709673005040;12
EKSAKT;Alva;827 Dijon (melange);827 Dijon melange;5709673005187;9
EKSAKT;Alva;409 Espresso (melange);409 Espresso melange;5709673005170;12
EKSAKT;Alva;302 Coffee Bean (melange);302 Cofffee Bean;5709673005057;8
EKSAKT;Alva;976 Taupe (melange);976 Taupe;5709673005194;7
EKSAKT;Alva;112 Truffle;112 Truffle;5709673005576;10
EKSAKT;Alva;979 Pebbles (melange);979 Pebbles melange;5709673005217;27
EKSAKT;Alva;208 Cardamom (melange);208 Cardamom melange;5709673004982;19
EKSAKT;Alva;207 Desert Sand (melange);207 Desert Sand melange;5709673004975;8
EKSAKT;Alva;977 Marzipan (melange);977 Marzipan Melange;5709673005200;25
EKSAKT;Alva;101 Natural White;101 Natural White;5709673004920;9
EKSAKT;Alva;401 Light Grey (melange);401 Light grey;5709673005149;15
EKSAKT;Alva;402 Medium Grey (melange);402 Medium grey;5709673005156;19
EKSAKT;Alva;404 Charcoal (melange);404 Charcoal melange;5709673005163;22
EKSAKT;Alva;102 Black;102 Black;5709673004937;13
