status;garnly_produkt;garnly_variant;garnkilden_navn;ean;garnkilden_lager
NY;Merinoull;1065 charcoal melange;Merinoull - 1065;7039560690997;20
NY;Tynn Line;9564 matcha;Tynn Line - 9564;7039560770613;24
NY;Finull;401 Natur;Finull - 401 Natur;7045840003555;28
NY;Finull;400 Hvit;Finull - 400 Hvit;7045840003531;15
NY;Finull;403 Lys grå melert;Finull - 403 Lys grå melert;7045840003586;16
NY;Finull;404 Grå melert;Finull - 404 Grå melert;7045840003609;18
NY;Finull;405 Mørk Grå melert;Finull - 405 Mørk Grå melert;7045840003623;35
NY;Finull;414 Koksgrå melert;Finull - 414 Koksgrå melert;7045840003784;22
NY;Finull;436 Svart;Finull - 436 Svart;7045840004132;33
NY;Finull;410 Sauesvart;Finull - 410 Sauesvart;7045840003708;12
NY;Finull;4387 Mørk blågrå;Finull - 4387 Mørk blågrå;7045840004194;11
NY;Finull;4006 Blågrå;Finull - 4006 Blågrå;7045840127107;21
NY;Finull;4287 Lys blågrå;Finull - 4287 Lys Blågrå;7045840004019;24
NY;Finull;4078 Lys beige melert;Finull - 4078 Lys Beige melert;7045840127480;33
NY;Finull;452 Gråbeige;Finull - 452 Gråbeige;7045840004439;20
NY;Finull;4187 Beige;Finull - 4187 Beige;7045840003845;25
NY;Finull;420 Mørk beige;Finull - 420 Mørk Beige;7045840003890;12
NY;Finull;4064 Rødbrun;Finull - 4064 Rødbrun;7045840127329;11
NY;Finull;422 Mørk brun;Finull - 422 Mørk Brun;7045840003937;6
NY;Finull;4077 Sand;Finull - 4077 Sand;7045840127466;8
NY;Finull;4067 Kamelbrun;Finull - 4067 Kamelbrun;7045840127367;4
NY;Finull;4065 Mørk kamelbrun;Finull - 4065 Mørk Kamelbrun;7045840127343;12
NY;Finull;406 Beige melert;Finull - 406 Beige Melert;7045840003647;7
NY;Finull;411 Brun melert;Finull - 411 Brun Melert;7045840003753;18
NY;Finull;464 Rødbrun melert;Finull - 464 Rødbrun melert;7045840004569;27
NY;Finull;488 Mørk burgunder;Finull - 488 Mørk Burgunder;7045840004842;4
NY;Finull;497 Burgunder;Finull - 497 Burgunder;7045840004965;18
NY;Finull;432 Dyp grønn;Finull - 432 Dyp Grønn;7045840004088;11
NY;Finull;494 Mørk grønn;Finull - 494 Mørk Grønn;7045840004934;2
NY;Finull;4025 Mørk petrol;Finull - 4025 Mørk Petrol;7045840127206;26
NY;Finull;484 Petrol;Finull - 484 Petrol;7045840004798;9
NY;Finull;4186 Sjøgrønn;Finull - 4186 Sjøgrønn;7045840003821;8
NY;Finull;4023 Lys sjøgrønn;Finull - 4023 Lys Sjøgrønn;7045840127183;19
