Merke,Produkt,Farge,EAN i Shopify,Pris,Strikkefryd,Garnkilden,Kobling
Ístex,Léttlopi,0005 Black heather,5690866300052,69.00,40,,EAN
Ístex,Léttlopi,0051 White,5690866300519,69.00,46,,EAN
Ístex,Léttlopi,0052 Black sheep,5690866300526,69.00,27,,EAN
Ístex,Léttlopi,0053 Acorn,5690866300533,69.00,19,,EAN
Ístex,Léttlopi,0054 Ash,5690866300540,69.00,45,,EAN
Ístex,Léttlopi,0056 Light grey,5690866300564,69.00,39,,EAN
Ístex,Léttlopi,0057 Grey,5690866300571,69.00,32,,EAN
Ístex,Léttlopi,0058 Dark grey,5690866300588,69.00,27,,EAN
Ístex,Léttlopi,0059 Black,5690866300595,69.00,31,,EAN
Ístex,Léttlopi,0085 Oatmeal,5690866300854,69.00,20,,EAN
Ístex,Léttlopi,0086 Light beige,5690866300861,69.00,20,,EAN
Ístex,Léttlopi,0867 Chocolate,5690866308676,69.00,31,,EAN
Ístex,Léttlopi,1402 Heaven blue,5690866314028,69.00,28,,EAN
Ístex,Léttlopi,1403 Lapis blue,5690866314035,69.00,21,,EAN
Ístex,Léttlopi,1404 Glacier blue,5690866314042,69.00,48,,EAN
Ístex,Léttlopi,1405 Bottle green,5690866314059,69.00,43,,EAN
Ístex,Léttlopi,1406 Spring green,5690866314066,69.00,14,,EAN
Ístex,Léttlopi,1407 Pine green,5690866314073,69.00,38,,EAN
Ístex,Léttlopi,1409 Garnet red,5690866314097,69.00,26,,EAN
Ístex,Léttlopi,1412 Pink,5690866314127,69.00,21,,EAN
Ístex,Léttlopi,1414 Violet,5690866314141,69.00,14,,EAN
Ístex,Léttlopi,1415 Rough sea,5690866314158,69.00,25,,EAN
Ístex,Léttlopi,1416 Moor,5690866314165,69.00,27,,EAN
Ístex,Léttlopi,1417 Frostbite,5690866314172,69.00,19,,EAN
Ístex,Léttlopi,1418 Straw,5690866314189,69.00,19,,EAN
Ístex,Léttlopi,1419 Barley,5690866314196,69.00,38,,EAN
Ístex,Léttlopi,1420 Murky,5690866314202,69.00,43,,EAN
Ístex,Léttlopi,1700 Air blue,5690866317005,69.00,41,,EAN
Ístex,Léttlopi,1701 Fjord blue,5690866317012,69.00,21,,EAN
Ístex,Léttlopi,1702 Milkyway,5690866317029,69.00,19,,EAN
Ístex,Léttlopi,1703 Mimosa,5690866317036,69.00,16,,EAN
Ístex,Léttlopi,1704 Apricot,5690866317043,69.00,13,,EAN
Ístex,Léttlopi,1705 Royal fuchsia,5690866317050,69.00,29,,EAN
Ístex,Léttlopi,1706 Lyme grass,5690866317067,69.00,34,,EAN
Ístex,Léttlopi,1707 Galaxy,5690866317074,69.00,28,,EAN
Ístex,Léttlopi,9418 Stone blue,5690866394181,69.00,22,,EAN
Ístex,Léttlopi,9419 Ocean blue,5690866394198,69.00,29,,EAN
Ístex,Léttlopi,9420 Navy blue,5690866394204,69.00,20,,EAN
Ístex,Léttlopi,9421 Celery green,5690866394211,69.00,31,,EAN
Ístex,Léttlopi,9423 Lagoon,5690866394235,69.00,32,,EAN
Ístex,Léttlopi,9426 Golden,5690866394266,69.00,15,,EAN
Ístex,Léttlopi,9427 Rust,5690866394273,69.00,33,,EAN
Ístex,Léttlopi,9431 Brick,5690866394310,69.00,22,,EAN
Ístex,Léttlopi,9432 Grape,5690866394327,69.00,39,,EAN
Ístex,Léttlopi,9434 Crimson red,5690866394341,69.00,18,,EAN
Cardiff Cashmere,Classic,501 Neve,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,509 Silver,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,511 Brown,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,516 Nero,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,517 Hermes,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,518 Piombo,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,543 Jungle,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,544 Cristobal,,210.00,alias,,alias
Cardiff Cashmere,Classic,548 Cammeo,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,550 Tadao,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,599 Panna,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,603 Muji,,210.00,alias,,alias
Cardiff Cashmere,Classic,622 Corteccia,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,623 Candido,,210.00,alias,,alias
Cardiff Cashmere,Classic,628 Granata,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,638 Indaco,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,643 Cacao,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,644 Baby,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,647 Cosmo,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,662 Marilyn,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,666 Zar,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,709 Life,,210.00,alias,,alias
Cardiff Cashmere,Classic,710 Fuji,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,711 Sakura,,210.00,alias,alias,alias
Cardiff Cashmere,Classic,714 Scarlatta,,210.00,alias,,alias
Cardiff Cashmere,Classic,716 Hashi,,210.00,alias,,alias
Cardiff Cashmere,Classic,718 Buthan,,210.00,alias,,alias
Cardiff Cashmere,Classic,303 Touch,,215.00,,alias,alias
Cardiff Cashmere,Classic,305 Neon,,215.00,,alias,alias
Cardiff Cashmere,Classic,306,,215.00,,alias,alias
Cardiff Cashmere,Classic,307 Blazer,,215.00,,alias,alias
Cardiff Cashmere,Classic,310 Amor,,215.00,,alias,alias
Cardiff Cashmere,Classic,311 Dancing,,215.00,,alias,alias
Cardiff Cashmere,Classic,312 Polo,,215.00,,alias,alias
Cardiff Cashmere,Classic,520 Antracite,,215.00,,alias,alias
Cardiff Cashmere,Classic,546 Hoshi,,215.00,,alias,alias
Cardiff Cashmere,Classic,591 Runner,,215.00,,alias,alias
Cardiff Cashmere,Classic,601 Uva,,215.00,,alias,alias
Cardiff Cashmere,Classic,649 Ottoman,,215.00,,alias,alias
Cardiff Cashmere,Classic,719 Vichy,,215.00,,alias,alias
Cardiff Cashmere,Classic,720 Louis,,215.00,,alias,alias
Cardiff Cashmere,Classic,722 Lacca,,215.00,,alias,alias
Cardiff Cashmere,Classic,724 Swatch,,215.00,,alias,alias
Cardiff Cashmere,Classic,739 Japan Blue,,215.00,,,INGEN
Cardiff Cashmere,Classic,733 Baobab,,215.00,,alias,alias
Cardiff Cashmere,Prime,106 Muji,9917555033056,235.00,,24,EAN
Cardiff Cashmere,Prime,108 Indaco,9917555030680,235.00,,24,EAN
Cardiff Cashmere,Prime,110 Black,,235.00,alias,alias,alias
Cardiff Cashmere,Prime,113 Cristobal,9917555026935,235.00,,18,EAN
Cardiff Cashmere,Prime,119 Mose,9917555032196,235.00,,5,EAN
Cardiff Cashmere,Prime,133 Galileo,9917555029110,235.00,,13,EAN
Cardiff Cashmere,Prime,134 Marilyn,9917555032790,235.00,,4,EAN
Cardiff Cashmere,Prime,141 Zen,9917555031519,235.00,,8,EAN
Cardiff Cashmere,Prime,177 Neve,9917555031984,235.00,,15,EAN
Cardiff Cashmere,Prime,178 Buthan,9917555027949,235.00,,27,EAN
Cardiff Cashmere,Prime,186 Cacao,,235.00,alias,alias,alias
Cardiff Cashmere,Prime,107 Gospel,,235.00,,alias,alias
Cardiff Cashmere,Prime,116 Tadao,9917555031366,235.00,,11,EAN
Cardiff Cashmere,Prime,121 Hoshi,9917555031687,235.00,,26,EAN
Cardiff Cashmere,Prime,128 Sudan,,235.00,,alias,alias
Cardiff Cashmere,Prime,130 Memphis,9917555029714,235.00,,14,EAN
Cardiff Cashmere,Prime,146 Hermes,9917555030918,235.00,,25,EAN
Cardiff Cashmere,Prime,148 Romeo,,235.00,,alias,alias
Cardiff Cashmere,Prime,161 Jasper,9917555028373,235.00,,13,EAN
Cardiff Cashmere,Prime,162 Scarlatta,,235.00,,alias,alias
Cardiff Cashmere,Prime,179 Africa,9917555032394,235.00,,6,EAN
Cardiff Cashmere,Prime,180 Jungle,,235.00,,alias,alias
Cardiff Cashmere,Prime,187 Gerbera,,235.00,,alias,alias
Cardiff Cashmere,Prime,189 Granata,,235.00,,alias,alias
Isager,Alpaca 1,1,5744003420605,103.00,,6,EAN
Isager,Alpaca 1,100,5744003420858,103.00,,16,EAN
Isager,Alpaca 1,11,5744003420681,103.00,,13,EAN
Isager,Alpaca 1,16,5744003420698,103.00,,9,EAN
Isager,Alpaca 1,17,5744003420704,103.00,,10,EAN
Isager,Alpaca 1,21,5744003420711,103.00,,6,EAN
Isager,Alpaca 1,23,5744003420728,103.00,,10,EAN
Isager,Alpaca 1,3,5744003420629,103.00,,10,EAN
Isager,Alpaca 1,30,5744003420735,103.00,,7,EAN
Isager,Alpaca 1,33,5744003420742,103.00,,12,EAN
Isager,Alpaca 1,36,5744003420759,103.00,,9,EAN
Isager,Alpaca 1,40,5744003420766,103.00,,8,EAN
Isager,Alpaca 1,46,5744003420773,103.00,,14,EAN
Isager,Alpaca 1,47,5744003420780,103.00,,10,EAN
Isager,Alpaca 1,4s,5744003420643,103.00,,20,EAN
Isager,Alpaca 1,52,5744003420797,103.00,,7,EAN
Isager,Alpaca 1,54,5744003420803,103.00,,15,EAN
Isager,Alpaca 1,56,5744003420810,103.00,,1,EAN
Isager,Alpaca 1,59,5744003420827,103.00,,10,EAN
Isager,Alpaca 1,60,5744003420834,103.00,,7,EAN
